date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,169.53,170.55,169.45,170.0,72404938,,,,,0.0
2024-05-28,170.61,169.83,166.86,169.82,33331233,-0.10588235294117787,,,,-0.11
2024-05-29,170.66,173.31,170.99,171.5,68743175,0.9892827699917506,,,,0.88
2024-05-30,176.09,176.39,174.98,175.26,106405050,2.1924198250728777,,,,3.09
2024-05-31,174.05,175.07,173.41,174.85,74221525,-0.2339381490357173,,,,2.85
2024-06-03,175.12,175.94,173.7,174.43,70120903,-0.24020589076350074,,,,2.61
2024-06-04,178.45,181.04,177.52,178.4,55281840,2.2759846356704694,173.47,,,4.94
2024-06-05,181.35,181.93,178.83,180.46,106687822,1.1547085201793816,174.96,,,6.15
2024-06-06,178.68,180.18,175.18,179.44,81808528,-0.5652222099080229,176.33,,,5.55
2024-06-07,181.04,182.1,180.81,180.95,37832891,0.8415069103878681,177.68,,,6.44
2024-06-10,180.79,180.18,178.6,179.94,76348502,-0.558165239016295,178.35,,,5.85
2024-06-11,178.98,178.94,177.86,178.94,99061847,-0.5557408024897237,178.94,,,5.26
2024-06-12,179.93,179.92,178.07,179.69,52038060,0.41913490555494093,179.69,,,5.7
2024-06-13,175.43,176.04,174.3,175.09,71296836,-2.5599643831042296,179.22,,,2.99
2024-06-14,170.98,171.26,170.37,171.05,100246175,-2.3073847735450292,177.87,,,0.62
2024-06-17,170.09,170.93,169.58,169.87,103860395,-0.689856767027186,176.5,,,-0.08
2024-06-18,167.78,168.54,166.17,167.63,72492736,-1.318655442397132,174.6,,,-1.39
2024-06-19,169.19,168.67,168.36,168.51,44795222,0.5249656982640349,172.97,,,-0.88
2024-06-20,165.78,166.74,165.29,166.54,91214087,-1.1690700848614344,171.2,,,-2.04
2024-06-21,163.07,166.78,162.28,163.42,64766028,-1.873423802089591,168.87,,,-3.87
2024-06-24,167.64,168.36,164.4,166.89,49084871,2.1233631134500053,167.7,,,-1.83
2024-06-25,167.16,168.36,165.31,166.51,115743480,-0.2276948888489394,167.05,,,-2.05
2024-06-26,166.74,170.36,164.73,166.81,31963776,0.1801693591976461,166.62,,,-1.88
2024-06-27,163.86,166.38,161.04,163.66,61164396,-1.8883759966428881,166.05,,,-3.73
2024-06-28,162.21,164.18,162.43,162.57,109681330,-0.6660149089576017,165.2,,,-4.37
2024-07-01,162.45,164.5,160.64,162.96,57609879,0.23989665990036269,164.69,,,-4.14
2024-07-02,160.45,160.77,158.41,160.5,69896930,-1.5095729013254844,164.27,,,-5.59
2024-07-03,161.24,161.86,160.74,161.48,72005527,0.610591900311519,163.5,,,-5.01
2024-07-04,160.41,160.6,159.25,160.28,38557968,-0.7431260837255316,162.61,,,-5.72
2024-07-05,159.09,159.96,159.54,159.77,101610372,-0.31819316196655123,161.6,170.24,,-6.02
2024-07-08,159.33,159.25,157.9,158.58,56847763,-0.7448206797271095,160.88,169.86,1.2388,-6.72
2024-07-09,163.58,163.87,161.15,162.79,100566548,2.654811451633221,160.91,169.63,1.3458,-4.24
2024-07-10,163.22,164.63,161.1,162.9,74096103,0.06757171816451635,160.9,169.34,1.3297,-4.18
2024-07-11,160.71,161.12,159.65,160.65,60808249,-1.3812154696132617,160.92,168.85,1.2702,-5.5
2024-07-12,162.31,162.71,162.1,162.62,85651053,1.2262682850918027,161.08,168.44,1.2997,-4.34
2024-07-15,160.52,160.64,159.14,160.01,118090211,-1.6049686385438577,161.05,167.96,1.3237,-5.88
2024-07-16,160.91,161.61,160.2,160.62,45568906,0.38122617336417974,161.17,167.37,1.2401,-5.52
2024-07-17,155.87,156.51,156.03,156.39,28589747,-2.6335450130743454,160.85,166.57,1.2749,-8.01
2024-07-18,154.28,153.69,151.62,153.65,40681938,-1.7520301809578531,159.55,165.71,1.2962,-9.62
2024-07-19,154.7,155.07,154.14,154.21,41992838,0.36446469248292424,158.31,164.82,1.2819,-9.29
2024-07-22,156.62,156.83,155.72,155.92,31135474,1.1088775047013666,157.63,164.02,1.3161,-8.28
2024-07-23,156.78,156.55,155.1,156.43,67637042,0.3270908158029773,156.75,163.27,1.3239,-7.98
2024-07-24,156.49,156.47,153.52,156.31,96705258,-0.07671162820430677,156.22,162.49,1.3159,-8.05
2024-07-25,155.67,156.42,155.5,155.8,45258425,-0.3262747105111541,155.53,161.84,1.2544,-8.35
2024-07-26,153.4,154.03,151.33,152.74,39952900,-1.9640564826700957,155.01,161.23,1.2377,-10.15
2024-07-29,151.9,151.77,150.96,151.35,98881540,-0.91004321068483,154.68,160.62,1.2403,-10.97
2024-07-30,149.83,150.79,150.06,150.51,37406301,-0.5550049554013947,154.15,160.05,1.2281,-11.46
2024-07-31,152.13,153.85,152.74,152.85,97457397,1.5547139724935155,153.71,159.52,1.2672,-10.09
2024-08-01,153.52,154.87,152.72,153.71,81730143,0.5626431141642296,153.32,159.1,1.2665,-9.58
2024-08-02,150.56,150.37,148.59,150.09,46683911,-2.355084249560868,152.44,158.65,1.2905,-11.71
2024-08-05,151.63,151.2,149.56,150.9,84623935,0.5396761942834338,151.74,158.12,1.2194,-11.24
2024-08-06,149.7,152.2,149.37,150.22,97510793,-0.45062955599735055,151.38,157.58,1.2195,-11.64
2024-08-07,149.08,150.14,147.09,148.94,109957925,-0.8520836107043017,151.03,156.98,1.219,-12.39
2024-08-08,150.16,151.13,150.01,150.34,106404718,0.9399758291929627,151.01,156.54,1.2068,-11.56
2024-08-09,153.33,153.76,150.06,152.62,104489183,1.5165624584275728,150.97,156.2,1.2475,-10.22
2024-08-12,155.25,156.79,154.4,154.72,82953839,1.3759664526274307,151.12,155.93,1.2783,-8.99
2024-08-13,153.57,155.22,152.74,153.05,80966110,-1.079369183040324,151.54,155.68,1.265,-9.97
2024-08-14,152.48,154.05,151.03,152.53,25303943,-0.33975824893826,151.77,155.38,1.2572,-10.28
2024-08-15,153.24,154.37,152.57,153.37,102562815,0.550711335474996,152.22,155.15,1.2595,-9.78
2024-08-16,155.22,157.21,153.84,155.57,59051623,1.4344395905326879,153.17,155.01,1.2911,-8.49
2024-08-19,153.99,156.85,153.64,154.68,51099208,-0.572089734524639,153.79,154.88,1.2885,-9.01
2024-08-20,154.98,155.35,153.77,154.41,49805505,-0.1745539177657185,154.05,154.6,1.1808,-9.17
2024-08-21,152.66,153.9,151.15,152.18,67675854,-1.4442069814131098,153.68,154.25,1.2024,-10.48
2024-08-22,150.54,151.28,148.33,149.79,98113713,-1.5705086082271058,153.22,153.88,1.2092,-11.89
2024-08-23,152.36,154.24,150.13,151.61,64786626,1.2150343814673947,153.09,153.52,1.2087,-10.82
2024-08-26,154.68,156.76,154.48,154.59,43250723,1.965569553459523,153.26,153.34,1.2436,-9.06
2024-08-27,154.99,155.24,154.12,154.57,111323773,-0.012937447441629946,153.12,153.13,1.2403,-9.08
2024-08-28,157.55,158.07,155.23,156.86,66013251,1.48152940415347,153.43,153.15,1.1788,-7.73
2024-08-29,158.33,157.82,157.4,157.78,49009512,0.5865102639296182,153.91,153.29,1.1343,-7.19
2024-08-30,156.11,156.93,156.03,156.51,101193128,-0.8049182405881705,154.53,153.36,1.1448,-7.94
2024-09-02,157.35,159.12,157.01,157.43,115891672,0.5878218644176147,155.62,153.42,1.1321,-7.39
2024-09-03,160.32,163.69,160.21,160.92,60824950,2.216858286222445,156.95,153.56,1.1993,-5.34
2024-09-04,161.71,161.85,160.92,160.98,65961405,0.037285607755399575,157.86,153.72,1.1989,-5.31
2024-09-05,164.79,165.43,163.71,164.61,109398014,2.2549385016772394,159.3,154.01,1.2581,-3.17
2024-09-06,158.35,159.31,158.61,158.78,61727753,-3.5417046351983505,159.57,154.22,1.3785,-6.6
2024-09-09,161.0,162.38,159.39,160.73,95008148,1.2281143720871635,159.99,154.53,1.3777,-5.45
2024-09-10,161.25,161.19,160.81,161.06,21003171,0.20531325825920987,160.64,154.88,1.3701,-5.26
2024-09-11,160.3,162.63,159.96,160.53,69701515,-0.32906991183410117,161.09,155.14,1.3505,-5.57
2024-09-12,160.26,161.59,160.12,160.88,43992154,0.21802778296891034,161.08,155.38,1.3486,-5.36
2024-09-13,156.85,159.1,156.57,156.59,68190951,-2.6665837891596156,160.45,155.59,1.3696,-7.89
2024-09-16,156.28,157.14,156.07,156.25,106786817,-0.21712753049364375,159.26,155.77,1.3692,-8.09
2024-09-17,157.58,157.75,156.59,157.16,54924917,0.5824000000000051,159.03,156.0,1.3672,-7.55
2024-09-18,160.54,161.19,160.34,160.51,94154764,2.1315856452023274,159.0,156.39,1.3992,-5.58
2024-09-19,160.06,161.57,158.11,159.5,105567156,-0.6292442838452428,158.77,156.69,1.4022,-6.18
2024-09-20,157.93,159.83,155.2,157.85,80332191,-1.0344827586206917,158.39,156.87,1.3974,-7.15
2024-09-23,156.99,158.15,153.2,156.89,109198479,-0.608172315489397,157.82,156.94,1.3829,-7.71
2024-09-24,159.62,159.67,157.91,159.02,117709343,1.3576391102046115,158.17,157.14,1.3855,-6.46
2024-09-25,159.73,160.08,159.37,159.88,20981883,0.5408124764180622,158.69,157.38,1.3843,-5.95
2024-09-26,158.27,159.87,157.65,158.85,21668321,-0.6442331748811592,158.93,157.57,1.3901,-6.56
2024-09-27,159.36,160.61,159.29,160.12,33296138,0.7994963802329336,158.87,157.72,1.3742,-5.81
2024-09-30,160.88,163.51,160.12,160.47,73625353,0.2185860604546619,159.01,157.91,1.3684,-5.61
2024-10-01,162.96,163.22,161.92,162.77,93263376,1.433289711472563,159.71,158.19,1.3873,-4.25
2024-10-02,161.65,161.58,159.94,161.32,113774759,-0.8908275480739802,160.35,158.49,1.3684,-5.11
2024-10-03,160.27,162.58,160.52,160.73,40536721,-0.3657327051822534,160.59,158.86,1.3318,-5.45
2024-10-04,159.42,160.74,159.3,160.0,45192630,-0.4541778137248764,160.61,159.14,1.3246,-5.88
2024-10-07,156.13,158.81,155.74,156.89,25418952,-1.9437500000000107,160.33,159.21,1.336,-7.71
2024-10-08,157.44,158.68,157.64,157.67,24264423,0.4971636178213945,159.98,159.32,1.3383,-7.25
2024-10-09,158.52,160.08,155.84,158.38,100925517,0.4503076044903853,159.68,159.37,1.314,-6.84
2024-10-10,158.36,159.65,157.31,158.53,28181883,0.09470892789493757,159.07,159.39,1.31,-6.75
2024-10-11,158.06,158.88,157.77,158.16,78638329,-0.23339431022519896,158.62,159.45,1.3016,-6.96
2024-10-14,155.82,157.37,154.63,155.19,102418648,-1.8778452200303497,157.83,159.37,1.3432,-8.71
2024-10-15,154.19,156.99,154.34,154.42,51927921,-0.49616599007669127,157.03,159.16,1.2758,-9.16
