date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,39871.45,40298.4,39583.71,40000.0,84971602,,,,,0.0
2024-05-28,40399.47,40599.8,40295.73,40559.23,105174120,1.3980749999999986,,,,1.4
2024-05-29,44446.82,44848.16,44408.48,44497.13,34771151,9.709010747985092,,,,11.24
2024-05-30,46287.8,46458.76,46175.47,46306.95,65611621,4.0672735522493175,,,,15.77
2024-05-31,48924.29,49145.01,48443.17,48861.56,52328148,5.51668809973449,,,,22.15
2024-06-03,46694.07,46712.45,46507.89,46597.36,87973212,-4.63390853669019,,,,16.49
2024-06-04,48535.31,48436.66,47966.44,48347.11,71914219,3.7550410581200344,45024.19,,,20.87
2024-06-05,45999.44,46641.0,45734.63,46096.72,90304869,-4.65465257385601,45895.15,,,15.24
2024-06-06,47976.71,48535.95,47870.24,47962.99,81694444,4.048596082324285,46952.83,,,19.91
2024-06-07,44629.03,45053.11,44675.69,44688.9,64767994,-6.826284182866827,46980.23,,,11.72
2024-06-10,44018.33,44426.29,43933.37,44238.9,22938340,-1.0069614602283838,46684.79,,,10.6
2024-06-11,40242.96,40388.84,40194.4,40211.02,65829084,-9.104837597679882,45449.0,,,0.53
2024-06-12,38892.04,39726.93,38476.18,38769.6,64026334,-3.584639235711995,44330.75,,,-3.08
2024-06-13,36222.24,36457.08,36340.8,36390.93,80898156,-6.13539990095332,42622.72,,,-9.02
2024-06-14,37539.81,38221.33,37717.87,37727.13,69643686,3.6717940431860274,41427.07,,,-5.68
2024-06-17,38206.79,38336.5,37935.2,38119.94,63315339,1.0411870714788218,40020.92,,,-4.7
2024-06-18,37573.77,38074.25,37082.78,37504.82,100387075,-1.6136436731012727,38994.62,,,-6.24
2024-06-19,37899.88,37971.16,37631.2,37935.59,78974813,1.14857237016468,38094.15,,,-5.16
2024-06-20,36731.38,36808.85,36368.68,36672.12,94333572,-3.330566362616194,37588.59,,,-8.32
2024-06-21,37617.84,37474.19,37391.44,37448.06,55768090,2.115885310148413,37399.8,,,-6.38
2024-06-24,37438.82,37818.8,37494.7,37533.45,102355331,0.2280224930210073,37563.02,,,-6.17
2024-06-25,41695.34,42146.09,41699.04,41801.55,114855983,11.371456660658708,38145.08,,,4.5
2024-06-26,45134.39,45864.02,45246.26,45276.46,34243719,8.312873565693124,39167.44,,,13.19
2024-06-27,47664.44,48271.27,47328.34,47557.92,110548909,5.038954017164765,40603.59,,,18.89
2024-06-28,48426.62,48630.92,48347.58,48497.82,78105643,1.9763269714066611,42112.48,,,21.24
2024-07-01,49992.79,49918.43,49447.14,49749.67,81809602,2.5812500438163966,43980.7,,,24.37
2024-07-02,53076.13,53029.88,52781.03,52962.45,90183898,6.4578920825002495,46197.05,,,32.41
2024-07-03,53927.09,54107.08,53339.55,53998.7,44794163,1.9565748940995054,48549.22,,,35.0
2024-07-04,55018.5,55491.27,54938.76,55212.19,82362913,2.247257804354552,50465.03,,,38.03
2024-07-05,54086.8,54602.61,53724.7,54037.07,98895340,-2.1283705645438133,51716.55,44185.44,,35.09
2024-07-08,52496.1,52615.62,52274.78,52603.99,114064404,-2.652031281488798,52437.41,44605.58,4.9007,31.51
2024-07-09,52864.11,52795.81,52051.62,52650.61,40147479,0.0886244560536209,53030.67,45008.62,4.9031,31.63
2024-07-10,46432.59,46590.42,46329.29,46459.81,87503147,-11.758268327755372,52560.69,45074.05,5.147,16.15
2024-07-11,46575.78,46727.56,46509.3,46672.55,65630321,0.45790114079244937,51662.13,45086.23,5.0972,16.68
2024-07-12,46457.5,46423.54,46173.72,46416.4,87181309,-0.5488236661592372,50578.95,45004.73,4.9964,16.04
2024-07-15,48443.86,48659.39,48446.07,48620.37,106849436,4.748257081548757,49637.26,45072.16,4.9932,21.55
2024-07-16,51754.72,52369.01,51560.94,51722.88,56165990,6.381090888448604,49306.66,45184.69,5.0788,29.31
2024-07-17,58055.65,58982.76,57644.05,58314.5,110536581,12.744108603387904,50122.45,45591.95,5.4661,45.79
2024-07-18,60322.71,61081.25,60093.62,60258.3,70515511,3.333304752677302,51209.26,46001.79,5.4536,50.65
