date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,2208.62,2230.29,2188.29,2200.0,85769743,,,,,0.0
2024-05-28,2269.59,2277.4,2245.93,2259.64,34136662,2.710909090909075,,,,2.71
2024-05-29,2497.28,2507.2,2463.52,2498.6,88651131,10.57513586234975,,,,13.57
2024-05-30,2384.29,2406.62,2363.36,2380.57,90552798,-4.723845353397893,,,,8.21
2024-05-31,2303.94,2323.09,2269.34,2306.46,49046249,-3.113119967066713,,,,4.84
2024-06-03,2218.86,2251.04,2191.4,2222.17,39429054,-3.6545181793744552,,,,1.01
2024-06-04,2433.75,2467.63,2425.69,2435.41,27180584,9.596025506599393,2328.98,,,10.7
2024-06-05,2447.14,2451.65,2435.6,2441.2,86131062,0.23774231032966942,2363.44,,,10.96
2024-06-06,2544.53,2548.33,2517.51,2544.49,58538002,4.231115844666555,2404.13,,,15.66
2024-06-07,2263.01,2263.35,2254.89,2255.93,71690571,-11.340582985195457,2369.46,,,2.54
2024-06-10,2305.98,2312.69,2295.8,2300.34,107582326,1.9685894509138269,2358.0,,,4.56
2024-06-11,2260.15,2304.5,2260.51,2271.04,101599436,-1.273724753732064,2352.94,,,3.23
2024-06-12,2420.46,2417.6,2400.47,2417.31,42350704,6.440661547132587,2380.82,,,9.88
2024-06-13,2493.62,2520.87,2492.42,2495.2,47356691,3.222176717094616,2389.36,,,13.42
2024-06-14,2455.88,2457.62,2433.37,2456.95,97568350,-1.532943251041996,2391.61,,,11.68
2024-06-17,2644.3,2680.52,2634.16,2635.9,34911112,7.283420501027704,2404.67,,,19.81
2024-06-18,2839.92,2850.14,2835.62,2838.57,64834814,7.688834933039956,2487.9,,,29.03
2024-06-19,3047.75,3040.78,3016.51,3036.05,58408446,6.95702413539212,2593.0,,,38.0
2024-06-20,3154.46,3170.6,3143.61,3147.77,57520647,3.6797812947744424,2718.25,,,43.08
2024-06-21,3120.92,3126.27,3115.31,3119.27,92171172,-0.9054028725097418,2818.53,,,41.78
2024-06-24,3169.14,3168.49,3131.37,3161.09,89365788,1.34069830441097,2913.66,,,43.69
2024-06-25,3098.67,3122.07,3073.06,3113.04,32655058,-1.5200453008297865,3007.38,,,41.5
2024-06-26,3138.39,3159.15,3151.39,3153.31,42127650,1.29359083082774,3081.3,,,43.33
2024-06-27,3067.8,3104.29,3061.9,3080.63,83861484,-2.3048796344158906,3115.88,,,40.03
2024-06-28,3065.45,3088.12,3046.02,3067.36,26026533,-0.43075604665279155,3120.35,,,39.43
2024-07-01,3358.13,3413.94,3346.73,3367.03,76007395,9.769639038130506,3151.68,,,53.05
2024-07-02,3440.47,3450.49,3409.98,3423.89,73685154,1.688728642156434,3195.19,,,55.63
2024-07-03,3371.28,3407.7,3350.88,3369.86,63045955,-1.5780296680091843,3225.02,,,53.18
2024-07-04,3222.29,3241.83,3194.27,3217.06,48098690,-4.534312998166101,3239.88,,,46.23
2024-07-05,3206.01,3222.21,3173.78,3213.11,65850476,-0.12278291359191229,3248.42,2747.64,,46.05
2024-07-08,3322.99,3361.73,3282.71,3328.92,28580383,3.6042961492136927,3283.89,2785.27,4.9661,51.31
2024-07-09,3354.03,3375.13,3325.27,3359.56,40286126,0.9204186342717691,3325.63,2821.94,4.9619,52.71
2024-07-10,3368.91,3387.21,3361.33,3362.23,108761150,0.07947469311457844,3324.95,2850.72,4.6569,52.83
2024-07-11,3435.09,3448.04,3417.44,3436.0,101265706,2.1940795246012224,3326.68,2885.9,4.5281,56.18
2024-07-12,3507.26,3526.86,3423.16,3506.64,85213290,2.055878928987198,3346.22,2925.91,4.4509,59.39
2024-07-15,3630.17,3693.13,3588.45,3626.83,65403852,3.4274975475098612,3404.76,2972.73,4.3548,64.86
2024-07-16,3765.5,3795.08,3751.46,3755.4,75836331,3.5449690225348274,3482.23,3016.73,4.1116,70.7
2024-07-17,3737.29,3791.46,3705.59,3752.66,97120805,-0.07296160195985335,3542.76,3060.45,4.1154,70.58
2024-07-18,3752.0,3748.33,3738.61,3741.64,80447542,-0.2936583649997604,3597.34,3100.35,4.0957,70.07
2024-07-19,3756.02,3809.57,3720.84,3753.65,48286578,0.3209822430805698,3653.26,3150.28,3.3288,70.62
2024-07-22,3864.83,3879.87,3839.8,3858.3,22059770,2.787953059022552,3713.59,3202.21,3.3339,75.38
2024-07-23,4054.3,4091.3,4025.59,4061.3,60743458,5.26138454759868,3792.83,3261.88,3.3403,84.6
2024-07-24,4010.23,4019.19,3969.99,4013.86,42724655,-1.1680988845936047,3848.12,3315.1,3.2805,82.45
2024-07-25,3986.88,4009.48,3984.39,3997.63,80942056,-0.40434893095424584,3882.72,3365.18,3.2914,81.71
2024-07-26,3885.46,3872.46,3838.32,3866.92,112864109,-3.2696872897191587,3899.04,3412.18,3.3635,75.77
2024-07-29,3624.13,3626.25,3574.44,3624.23,94470141,-6.2760543274751,3882.27,3445.13,3.4792,64.74
2024-07-30,3454.97,3475.31,3420.33,3437.92,33094075,-5.1406781578431815,3837.17,3465.11,3.4327,56.27
2024-07-31,3296.33,3307.87,3221.58,3296.67,44160514,-4.108588914227207,3756.93,3473.79,3.3298,49.85
2024-08-01,3201.36,3222.11,3198.34,3210.35,89033634,-2.61839977917111,3635.37,3475.88,3.3097,45.92
2024-08-02,3285.89,3316.27,3266.6,3285.65,20757079,2.345538648433987,3531.34,3481.42,3.3282,49.35
2024-08-05,3126.4,3150.63,3137.27,3140.86,60775987,-4.4067383927076875,3408.94,3480.75,3.4258,42.77
2024-08-06,3166.04,3185.11,3118.51,3153.28,51550534,0.3954330979413223,3306.99,3482.09,3.4137,43.33
2024-08-07,3290.24,3311.46,3270.18,3279.79,95012402,4.012012888167238,3257.79,3486.31,3.4819,49.08
2024-08-08,3177.34,3173.63,3167.03,3170.18,89624375,-3.3419822610594063,3219.54,3489.29,3.5125,44.1
2024-08-09,3114.9,3114.95,3109.08,3111.48,50611476,-1.8516298759060912,3193.08,3490.76,3.5302,41.43
2024-08-12,2942.59,2955.14,2939.32,2940.25,113855339,-5.5031689099721,3154.5,3476.54,3.1718,33.65
2024-08-13,2840.12,2840.03,2811.33,2826.08,102263604,-3.883003145990993,3088.85,3456.61,3.2081,28.46
