date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,160.24,161.38,159.57,160.0,25544223,,,,,0.0
2024-05-28,157.52,157.26,154.71,156.78,48694421,-2.012499999999995,,,,-2.01
2024-05-29,159.07,159.18,158.08,158.73,32992054,1.243781094527363,,,,-0.79
2024-05-30,160.93,161.92,159.01,160.25,59497144,0.957600957600957,,,,0.16
2024-05-31,161.75,164.54,160.85,161.72,118920204,0.9173166926677023,,,,1.08
2024-06-03,161.33,163.41,159.48,161.95,21171758,0.14222112292852085,,,,1.22
2024-06-04,163.28,164.66,162.9,163.24,36702269,0.7965421426366248,160.38,,,2.03
2024-06-05,166.96,169.57,166.8,167.59,25276085,2.6647880421465375,161.47,,,4.74
2024-06-06,167.22,167.68,166.82,167.07,111335196,-0.31028104302166515,162.94,,,4.42
2024-06-07,167.63,168.0,166.68,167.66,80847125,0.3531453881606472,164.21,,,4.79
2024-06-10,165.23,165.86,162.42,165.03,94294044,-1.5686508409877065,164.89,,,3.14
2024-06-11,162.2,163.26,160.97,163.0,71274287,-1.2300793795067544,165.08,,,1.88
2024-06-12,162.98,163.56,159.77,163.48,95132420,0.2944785276073558,165.3,,,2.17
2024-06-13,166.53,167.63,166.03,166.55,113266681,1.8779055541962464,165.77,,,4.09
2024-06-14,166.86,167.25,165.86,166.11,67486626,-0.2641849294506171,165.56,,,3.82
2024-06-17,165.53,167.81,164.96,165.72,43876708,-0.23478417915839822,165.36,,,3.57
2024-06-18,164.76,165.29,164.08,164.89,114723654,-0.5008447984552356,164.97,,,3.06
2024-06-19,164.08,165.37,162.7,163.73,115771298,-0.7034993025653469,164.78,,,2.33
2024-06-20,164.89,164.72,163.92,164.72,98247052,0.6046540035424153,165.03,,,2.95
2024-06-21,160.74,161.83,159.24,161.06,97316673,-2.2219524040796523,164.68,,,0.66
2024-06-24,164.39,164.81,164.06,164.53,52092869,2.154476592574195,164.39,,,2.83
2024-06-25,162.58,163.98,160.19,163.04,50261475,-0.9056099191636857,163.96,,,1.9
2024-06-26,165.89,166.32,164.76,165.12,38057496,1.2757605495584023,163.87,,,3.2
2024-06-27,161.45,162.57,160.95,162.05,77789099,-1.8592538759689914,163.46,,,1.28
2024-06-28,163.77,165.73,162.31,163.98,75878459,1.190990435050887,163.5,,,2.49
2024-07-01,165.15,166.32,165.04,165.94,43904686,1.1952677155750768,163.67,,,3.71
2024-07-02,166.71,167.96,167.11,167.18,51138855,0.7472580450765376,164.55,,,4.49
2024-07-03,165.25,165.68,162.68,164.79,73181958,-1.4295968417274874,164.59,,,2.99
2024-07-04,165.17,166.83,164.53,165.67,107901869,0.5340129862248855,164.96,,,3.54
