date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,1503.46,1501.82,1498.93,1500.0,96036613,,,,,0.0
2024-05-28,1482.88,1500.15,1469.71,1489.0,52829156,-0.7333333333333303,,,,-0.73
2024-05-29,1515.59,1520.97,1515.06,1517.86,24420864,1.9382135661517808,,,,1.19
2024-05-30,1547.57,1548.03,1511.55,1541.23,112679230,1.5396676900373052,,,,2.75
2024-05-31,1535.36,1536.53,1531.58,1534.49,37173895,-0.43731305515724017,,,,2.3
2024-06-03,1519.01,1533.43,1514.33,1522.58,23959323,-0.7761536406232783,,,,1.51
2024-06-04,1471.67,1470.6,1455.84,1464.97,102673496,-3.783709230385257,1510.02,,,-2.34
2024-06-05,1440.12,1462.01,1439.47,1443.81,64687776,-1.4443981788022975,1501.99,,,-3.75
2024-06-06,1427.48,1426.22,1416.72,1421.72,75406629,-1.529979706471063,1492.38,,,-5.22
2024-06-07,1397.35,1408.43,1380.46,1394.2,89511475,-1.9356835382494442,1474.71,,,-7.05
2024-06-10,1397.52,1400.53,1391.63,1394.17,37929037,-0.0021517716253027785,1453.71,,,-7.06
2024-06-11,1404.57,1405.38,1389.22,1400.86,68250506,0.47985539783526043,1434.62,,,-6.61
2024-06-12,1436.85,1439.39,1423.3,1436.76,72797492,2.562711477235413,1422.36,,,-4.22
2024-06-13,1443.29,1453.83,1429.25,1438.77,21311325,0.13989810406749292,1418.61,,,-4.08
2024-06-14,1403.61,1398.98,1394.29,1398.91,22396611,-2.7704219576443645,1412.2,,,-6.74
2024-06-17,1383.14,1387.03,1379.58,1385.08,115691212,-0.9886268594834657,1406.96,,,-7.66
2024-06-18,1396.06,1415.05,1392.09,1397.45,88666118,0.8930892078435893,1407.43,,,-6.84
2024-06-19,1401.97,1405.56,1391.79,1396.54,80718565,-0.06511860889477639,1407.77,,,-6.9
2024-06-20,1414.14,1417.28,1413.05,1413.79,64988226,1.235195554728108,1409.61,,,-5.75
2024-06-21,1409.55,1406.75,1401.65,1404.4,110674312,-0.6641721896462616,1404.99,,,-6.37
2024-06-24,1429.3,1434.28,1419.77,1427.49,29879501,1.6441184847621804,1403.38,,,-4.83
2024-06-25,1434.38,1438.2,1417.6,1433.04,73859699,0.38879431729819114,1408.26,,,-4.46
2024-06-26,1432.36,1440.42,1416.35,1439.11,105151678,0.42357505722101507,1415.97,,,-4.06
2024-06-27,1439.58,1454.35,1434.97,1442.79,31365631,0.255713600767149,1422.45,,,-3.81
2024-06-28,1428.2,1428.18,1414.25,1428.17,43673226,-1.0133144809708838,1426.97,,,-4.79
2024-07-01,1428.97,1428.23,1424.94,1427.72,46645540,-0.03150885398797154,1428.96,,,-4.82
2024-07-02,1436.09,1449.96,1415.88,1434.22,78234509,0.4552713417196541,1433.22,,,-4.39
2024-07-03,1410.1,1422.01,1392.21,1407.06,38152594,-1.893712261717173,1430.3,,,-6.2
2024-07-04,1411.48,1414.68,1408.3,1409.28,95029511,0.15777578781288604,1426.91,,,-6.05
2024-07-05,1438.68,1440.81,1432.84,1433.68,66755066,1.7313805631244295,1426.13,1439.3,,-4.42
2024-07-08,1440.03,1458.61,1430.75,1442.98,61462406,0.6486803191786183,1426.16,1437.4,1.4279,-3.8
2024-07-09,1473.09,1472.95,1466.31,1471.01,75066170,1.942507865666876,1432.28,1436.8,1.4711,-1.93
2024-07-10,1473.38,1485.64,1472.73,1480.02,34290366,0.6125043337570801,1439.75,1435.54,1.4293,-1.33
2024-07-11,1462.03,1492.82,1462.2,1462.32,20686342,-1.195929784732641,1443.76,1432.91,1.4099,-2.51
2024-07-12,1475.61,1492.24,1472.2,1479.04,78202743,1.1433885879971628,1454.05,1431.06,1.4288,-1.4
2024-07-15,1454.62,1457.04,1443.63,1456.35,90671798,-1.5341032020770307,1460.77,1428.86,1.4475,-2.91
2024-07-16,1450.73,1460.31,1451.81,1452.84,114377218,-0.24101349263569993,1463.51,1428.45,1.2739,-3.14
2024-07-17,1441.61,1448.26,1443.65,1447.98,45998658,-0.33451722144213214,1464.22,1428.59,1.2469,-3.47
2024-07-18,1434.58,1438.88,1429.35,1435.05,46122769,-0.8929681349189922,1459.09,1429.04,1.2249,-4.33
2024-07-19,1490.39,1492.68,1478.53,1483.05,40388140,3.3448311905508454,1459.52,1432.0,1.308,-1.13
2024-07-22,1479.28,1487.49,1476.62,1482.26,38112996,-0.05326860186777305,1462.37,1434.93,1.3084,-1.18
2024-07-23,1523.74,1529.61,1513.86,1520.15,85663067,2.556231700241529,1468.24,1438.91,1.3762,1.34
2024-07-24,1528.85,1537.31,1518.64,1528.11,48255395,0.5236325362628635,1478.49,1441.96,1.3083,1.87
2024-07-25,1508.82,1524.51,1483.61,1511.46,77904783,-1.0895812474232769,1486.87,1444.38,1.3298,0.76
2024-07-26,1497.43,1509.39,1480.56,1503.6,75431068,-0.5200269937676194,1494.81,1447.87,1.2167,0.24
2024-07-29,1499.24,1520.43,1491.07,1503.51,25945233,-0.00598563447724576,1504.59,1451.82,1.1953,0.23
2024-07-30,1501.33,1499.28,1493.74,1497.11,56460781,-0.42567059746859703,1506.6,1455.14,1.1962,-0.19
2024-07-31,1488.84,1493.49,1483.12,1492.13,68948909,-0.33264088811107984,1508.01,1458.32,1.1996,-0.52
2024-08-01,1499.36,1519.75,1488.61,1504.71,62432594,0.8430900792826268,1505.8,1461.35,1.1903,0.31
2024-08-02,1510.49,1523.62,1511.97,1513.05,77039516,0.5542596247781972,1503.65,1464.98,1.18,0.87
2024-08-05,1529.52,1538.15,1527.01,1528.23,61041004,1.0032715376226964,1506.05,1468.33,1.1596,1.88
2024-08-06,1564.47,1571.96,1553.35,1561.3,94543281,2.1639412915595013,1514.29,1472.61,1.2119,4.09
2024-08-07,1550.09,1551.84,1537.13,1551.84,108445177,-0.6059053352975075,1521.2,1476.37,1.2226,3.46
2024-08-08,1576.5,1587.35,1576.44,1576.53,115690734,1.5910145375811924,1532.54,1480.83,1.2466,5.1
2024-08-09,1607.01,1623.37,1597.51,1607.73,29039414,1.9790298947689022,1549.06,1486.81,1.2573,7.18
2024-08-12,1629.29,1649.65,1621.42,1637.33,113997722,1.8411051606924023,1568.0,1493.8,1.2812,9.16
2024-08-13,1596.5,1625.78,1577.96,1598.17,87244122,-2.3916986801683193,1580.16,1499.26,1.3833,6.54
2024-08-14,1640.18,1643.08,1631.32,1638.75,97964925,2.5391541575677135,1595.95,1506.99,1.3698,9.25
2024-08-15,1626.21,1639.76,1616.8,1625.08,83510352,-0.8341723874904727,1605.06,1514.18,1.3906,8.34
2024-08-16,1588.35,1594.52,1582.69,1584.4,92462504,-2.503261377901389,1609.71,1519.2,1.4723,5.63
2024-08-19,1626.85,1646.66,1622.74,1624.08,54585738,2.504418076243353,1616.51,1525.24,1.5236,8.27
2024-08-20,1632.76,1649.35,1607.17,1636.41,90819332,0.7591990542337834,1620.6,1530.75,1.4976,9.09
2024-08-21,1645.74,1650.51,1648.34,1649.77,56990574,0.8164213125072539,1622.38,1536.41,1.4992,9.98
2024-08-22,1642.37,1656.98,1635.37,1642.96,94103991,-0.4127848124283906,1628.78,1542.43,1.4776,9.53
2024-08-23,1651.73,1658.03,1634.34,1647.89,83969523,0.30006816964502914,1630.08,1548.06,1.471,9.86
2024-08-26,1638.81,1650.88,1643.97,1645.5,47811658,-0.14503395250897722,1633.0,1554.37,1.4302,9.7
2024-08-27,1639.36,1639.22,1627.4,1632.04,35019035,-0.8179884533576431,1639.81,1560.34,1.4432,8.8
2024-08-28,1634.05,1648.12,1623.87,1633.34,112647942,0.0796549104188582,1641.13,1566.52,1.4379,8.89
2024-08-29,1633.51,1641.1,1613.22,1636.68,44628164,0.2044889612695444,1641.17,1573.24,1.4174,9.11
2024-08-30,1610.59,1621.3,1606.28,1607.48,98055986,-1.7840995185375297,1635.13,1577.39,1.3644,7.17
2024-09-02,1602.16,1628.67,1607.14,1609.49,53589673,0.1250404359618873,1630.35,1581.63,1.3632,7.3
2024-09-03,1570.14,1573.96,1554.59,1570.38,87032199,-2.429962286190024,1619.27,1583.3,1.3805,4.69
2024-09-04,1612.7,1627.2,1598.35,1612.92,94477233,2.708898483169686,1614.62,1586.13,1.4581,7.53
2024-09-05,1605.95,1626.93,1610.59,1611.4,111064960,-0.09423901991418848,1611.67,1589.46,1.4392,7.43
2024-09-06,1593.6,1593.86,1557.65,1588.24,82395076,-1.4372595258781207,1605.23,1592.28,1.4651,5.88
2024-09-09,1605.04,1614.46,1594.49,1600.29,115323402,0.7587014556993843,1600.03,1595.51,1.4681,6.69
2024-09-10,1578.99,1601.52,1574.77,1584.49,109188489,-0.9873210480600414,1596.74,1598.42,1.4801,5.63
2024-09-11,1582.45,1595.81,1580.44,1584.6,95095950,0.006942296890466437,1593.19,1601.5,1.4772,5.64
2024-09-12,1588.99,1601.22,1587.88,1595.36,79538022,0.6790357187933749,1596.76,1604.52,1.4751,6.36
2024-09-13,1579.13,1604.1,1558.34,1573.64,105391406,-1.361448199779347,1591.15,1606.54,1.5007,4.91
2024-09-16,1614.06,1625.42,1597.33,1616.91,37364956,2.7496759106275803,1591.93,1609.5,1.5677,7.79
2024-09-17,1662.5,1670.12,1662.22,1663.51,71103384,2.88204043515099,1602.69,1612.91,1.6038,10.9
2024-09-18,1649.27,1656.93,1647.56,1652.18,119459594,-0.6810899844305052,1610.1,1616.25,1.6052,10.15
2024-09-19,1624.16,1629.91,1626.52,1627.25,65652496,-1.5089154934692428,1616.21,1617.94,1.6137,8.48
2024-09-20,1620.07,1617.16,1609.77,1616.07,90339855,-0.6870487017975102,1620.7,1618.22,1.5808,7.74
