date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,458.52,465.18,458.13,460.0,22214934,,,,,0.0
2024-05-28,448.62,451.24,447.56,450.41,83703357,-2.0847826086956456,,,,-2.08
2024-05-29,464.84,467.24,460.66,466.94,48106480,3.6699895650629255,,,,1.51
2024-05-30,450.23,452.55,447.59,450.52,92608767,-3.5165117573992433,,,,-2.06
2024-05-31,466.41,470.98,464.63,465.83,60177243,3.39829530320519,,,,1.27
2024-06-03,469.27,469.61,462.66,467.67,64188600,0.39499388188823925,,,,1.67
2024-06-04,473.25,472.77,469.02,472.39,24017380,1.0092586652981739,461.97,,,2.69
2024-06-05,470.57,473.72,470.95,471.94,77330795,-0.09526027223268896,463.67,,,2.6
2024-06-06,473.07,473.66,472.8,473.25,108451987,0.2775776581768863,466.93,,,2.88
2024-06-07,481.51,485.01,479.48,479.54,90594491,1.3291072371896417,468.73,,,4.25
2024-06-10,464.95,469.13,464.62,465.76,35010991,-2.8735871877215713,470.91,,,1.25
2024-06-11,461.03,461.45,458.7,461.03,61602333,-1.015544486430786,470.23,,,0.22
2024-06-12,456.76,456.1,451.74,454.68,91168875,-1.3773507147040287,468.37,,,-1.16
2024-06-13,460.59,462.5,458.38,459.51,92096072,1.0622855634732087,466.53,,,-0.11
2024-06-14,461.7,460.77,460.03,460.56,44532844,0.2285042762943057,464.9,,,0.12
2024-06-17,465.78,473.86,466.29,466.94,30851056,1.3852701059579697,464.0,,,1.51
2024-06-18,469.01,476.05,468.73,469.41,44275600,0.5289758855527626,462.56,,,2.05
2024-06-19,477.83,481.45,476.48,479.83,79921763,2.219807843889132,464.57,,,4.31
2024-06-20,474.67,475.11,469.51,474.16,119845133,-1.181668507596434,466.44,,,3.08
2024-06-21,473.83,477.15,474.41,475.72,80210450,0.3290028682301438,469.45,,,3.42
2024-06-24,488.37,497.97,483.19,486.73,26438082,2.314386613974606,473.34,,,5.81
2024-06-25,497.72,498.34,494.14,496.16,71911520,1.937419102993454,478.42,,,7.86
2024-06-26,483.53,487.41,481.88,483.37,58878111,-2.577797484682365,480.77,,,5.08
2024-06-27,473.39,483.98,471.32,475.09,47017070,-1.712973498562187,481.58,,,3.28
2024-06-28,473.14,476.69,473.94,475.4,43303690,0.06525079458628014,480.95,,,3.35
2024-07-01,475.73,477.19,472.26,474.32,54553961,-0.22717711400924712,480.97,,,3.11
2024-07-02,475.25,479.67,471.94,474.77,92631041,0.09487265980772097,480.83,,,3.21
2024-07-03,483.97,484.02,481.02,482.95,52565209,1.722939528613865,480.29,,,4.99
2024-07-04,485.69,488.86,485.78,486.65,106227139,0.7661248576457114,478.94,,,5.79
2024-07-05,490.95,493.21,490.76,490.91,109702352,0.8753724442617905,480.01,471.75,,6.72
2024-07-08,499.43,502.13,489.7,498.2,60001243,1.4849972500050823,483.31,473.02,1.7486,8.3
2024-07-09,509.21,511.1,504.45,509.4,105374301,2.2480931352870215,488.17,474.99,1.7252,10.74
2024-07-10,481.58,487.85,480.59,481.09,67109805,-5.557518649391446,489.14,475.46,1.9364,4.58
2024-07-11,480.02,479.45,472.81,478.63,109568348,-0.511338834729469,489.69,476.4,1.8159,4.05
2024-07-12,470.34,474.94,469.56,471.69,86356133,-1.449971794496796,488.08,476.59,1.7372,2.54
2024-07-15,474.88,480.31,470.03,476.95,110350142,1.1151391803938981,486.7,476.9,1.7469,3.68
2024-07-16,473.98,476.38,473.51,473.83,51004434,-0.6541566201907933,484.26,476.95,1.7428,3.01
2024-07-17,473.46,477.48,475.43,475.54,37755994,0.36088892640822046,481.02,477.07,1.7437,3.38
2024-07-18,485.53,486.07,478.72,484.24,108027420,1.8294990957648194,477.42,477.44,1.7738,5.27
2024-07-19,480.83,480.15,479.17,479.78,83559586,-0.9210308937716905,477.24,477.44,1.7672,4.3
2024-07-22,485.96,484.59,480.29,484.11,69752435,0.9024969777814862,478.02,478.06,1.6869,5.24
2024-07-23,500.08,502.61,498.12,499.39,101356054,3.1563074507859668,481.98,479.33,1.7586,8.56
2024-07-24,506.13,516.95,503.76,508.33,34446310,1.7901840245098999,486.46,481.12,1.7506,10.51
2024-07-25,492.98,499.14,490.94,494.2,47683117,-2.7796903586252975,489.37,482.28,1.8379,7.43
2024-07-26,494.07,494.26,490.23,492.55,47607294,-0.33387292594091456,491.8,483.34,1.8411,7.08
2024-07-29,495.29,502.28,496.57,496.94,43288751,0.8912800730890291,493.61,484.34,1.8327,8.03
2024-07-30,504.22,506.11,501.4,503.22,113566215,1.2637340524007001,496.96,485.47,1.8418,9.4
2024-07-31,503.32,507.01,500.66,501.92,36981686,-0.25833631413696434,499.51,486.21,1.8055,9.11
2024-08-01,496.1,500.03,495.3,496.94,86773825,-0.9921899904367315,499.16,486.97,1.801,8.03
2024-08-02,497.78,502.22,498.24,498.66,33937356,0.3461182436511612,497.78,487.73,1.801,8.4
2024-08-05,489.79,492.38,488.13,489.51,50943655,-1.8349175791120276,497.11,487.82,1.7902,6.42
2024-08-06,502.56,502.95,500.28,500.75,32212436,2.296173724745154,498.28,487.98,1.8045,8.86
2024-08-07,518.09,523.11,516.01,519.53,48444659,3.750374438342474,501.5,489.18,1.8562,12.94
2024-08-08,526.85,526.55,521.99,524.54,54178991,0.9643331472677152,504.55,490.83,1.8223,14.03
2024-08-09,523.9,535.06,521.64,523.38,88209775,-0.2211461471003151,507.62,492.43,1.8246,13.78
2024-08-12,536.45,540.83,532.15,533.83,22030245,1.99663724253889,512.89,494.41,1.8459,16.05
2024-08-13,540.55,543.01,536.63,542.78,34033007,1.676563700054312,519.19,496.68,1.8591,18.0
2024-08-14,539.12,549.48,540.67,541.14,57203030,-0.3021482000073683,526.56,498.62,1.8485,17.64
2024-08-15,543.6,544.42,538.76,541.83,24243638,0.1275085929704156,532.43,500.46,1.8478,17.79
2024-08-16,538.73,541.35,535.0,536.77,43255636,-0.9338722477529982,534.9,501.99,1.8604,16.69
2024-08-19,539.32,545.84,536.76,539.61,59649444,0.5290906719824129,537.05,503.37,1.8478,17.31
2024-08-20,545.0,544.66,542.99,543.84,44156974,0.7838994829599155,539.97,504.52,1.8131,18.23
2024-08-21,538.98,545.23,536.33,537.01,56468710,-1.255884083553993,540.43,506.38,1.4785,16.74
2024-08-22,524.86,527.49,524.27,527.27,30648085,-1.8137464851678775,538.21,508.0,1.524,14.62
2024-08-23,515.59,517.01,513.56,515.21,66816934,-2.2872532099303844,534.51,509.45,1.5649,12.0
2024-08-26,522.23,524.58,513.99,520.39,69468118,1.0054152675607941,531.44,510.9,1.563,13.13
2024-08-27,520.88,522.52,517.41,521.41,91104569,0.19600684102307753,529.25,512.49,1.5528,13.35
2024-08-28,520.7,527.06,521.01,521.73,44527389,0.06137204886751402,526.69,514.03,1.5535,13.42
2024-08-29,529.01,530.03,527.27,527.45,105727121,1.0963525195024193,524.35,515.47,1.5346,14.66
2024-08-30,518.76,523.41,515.99,519.62,113063785,-1.4845009005593046,521.87,516.8,1.5534,12.96
2024-09-02,507.71,513.02,504.92,510.24,77039853,-1.8051653131134326,519.44,517.67,1.594,10.92
2024-09-03,516.04,519.41,510.13,513.68,28378022,0.6741925368453972,519.22,518.14,1.496,11.67
2024-09-04,498.48,500.83,491.47,498.02,109993053,-3.0485905622177123,516.02,517.8,1.5672,8.27
2024-09-05,498.26,496.9,495.3,496.67,47121305,-0.2710734508654222,512.49,517.88,1.4814,7.97
2024-09-06,522.6,521.85,520.71,520.9,58785220,4.878490748384223,512.37,518.83,1.7235,13.24
2024-09-09,506.56,511.46,503.7,508.77,67789452,-2.328661931272802,509.7,519.22,1.7784,10.6
2024-09-10,504.08,507.67,499.39,505.74,90469272,-0.5955539831357881,507.72,519.3,1.7686,9.94
2024-09-11,485.64,486.7,478.54,486.56,36978919,-3.7924625301538395,504.33,518.79,1.9013,5.77
2024-09-12,484.6,495.48,482.2,485.47,72787975,-0.22402170338703398,500.3,518.41,1.8938,5.54
2024-09-13,505.37,506.88,503.04,504.57,115270985,3.9343316785795057,501.24,518.61,2.0289,9.69
2024-09-16,510.75,512.58,507.65,510.13,70398821,1.1019283746556585,503.16,519.29,2.0051,10.9
2024-09-17,505.3,508.06,503.8,505.32,106718798,-0.9428969086311301,500.94,519.45,1.9729,9.85
2024-09-18,525.73,530.19,520.13,527.26,81904718,4.341803213805107,503.58,519.7,2.0137,14.62
2024-09-19,510.44,517.88,506.15,511.05,77080495,-3.0743845541099213,504.34,519.26,2.0854,11.1
2024-09-20,516.77,518.36,515.43,516.55,95731518,1.0762156344780172,508.62,519.03,2.0955,12.29
2024-09-23,518.14,518.61,517.47,518.31,22292007,0.34072209853837077,513.31,518.51,2.0621,12.68
2024-09-24,515.09,517.54,507.45,517.02,24550642,-0.24888580193319632,515.09,517.65,2.0354,12.4
2024-09-25,526.82,528.62,522.0,526.03,26735714,1.74267920003095,517.36,517.15,2.0639,14.35
2024-09-26,513.23,515.69,512.68,515.43,24902021,-2.0150941961485147,518.81,516.27,2.0935,12.05
2024-09-27,518.97,524.38,517.06,519.6,27479773,0.8090332343868356,517.71,515.7,2.095,12.96
2024-09-30,523.66,523.03,521.47,522.56,99280760,0.5696689761354845,519.36,515.13,2.0955,13.6
2024-10-01,512.63,515.27,511.92,515.1,40515134,-1.4275872627066644,519.15,514.17,2.1027,11.98
2024-10-02,535.58,537.26,527.7,535.2,48723678,3.90215492137449,521.56,514.11,2.2177,16.35
2024-10-03,533.65,539.03,527.66,534.53,111283071,-0.12518684603888275,524.06,514.35,2.191,16.2
2024-10-04,531.67,539.77,531.19,534.3,81438319,-0.04302845490431473,525.25,514.99,2.1457,16.15
2024-10-07,523.46,528.46,521.36,525.09,22752878,-1.7237507018528775,526.63,515.14,2.1656,14.15
2024-10-08,526.93,530.23,521.3,524.61,44689951,-0.09141290064560437,527.34,515.25,2.1656,14.05
2024-10-09,549.02,549.79,547.32,548.91,91427884,4.6320123520329215,531.11,516.16,2.3221,19.33
2024-10-10,550.2,552.65,540.34,547.48,52889209,-0.26051629593193404,535.73,516.82,2.3171,19.02
2024-10-11,554.18,555.5,551.82,554.04,24168142,1.1982172864761997,538.42,517.97,2.3036,20.44
2024-10-14,565.45,570.04,564.16,565.21,58630993,2.0160999205833585,542.81,519.8,2.2923,22.87
2024-10-15,563.89,571.89,557.3,564.5,24645399,-0.125617027299596,547.12,521.5,2.2932,22.72
