date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,378.95,383.05,376.11,380.0,42876131,,,,,0.0
2024-05-28,387.81,389.59,387.45,389.49,40549731,2.497368421052637,,,,2.5
2024-05-29,387.63,390.36,384.28,386.37,22942609,-0.8010475236848169,,,,1.68
2024-05-30,382.42,384.68,382.95,383.36,97297672,-0.7790459921836579,,,,0.88
2024-05-31,386.16,393.47,380.68,386.26,112044861,0.7564691151919822,,,,1.65
2024-06-03,383.4,389.99,384.02,385.15,45590456,-0.28737120074561195,,,,1.36
2024-06-04,394.76,394.38,390.92,393.97,35901724,2.290016876541623,386.37,,,3.68
2024-06-05,395.32,400.53,395.5,395.99,55127164,0.5127293956392664,388.66,,,4.21
2024-06-06,391.71,395.08,386.9,390.75,47106417,-1.3232657390338187,388.84,,,2.83
2024-06-07,381.67,386.75,375.98,382.01,29898445,-2.2367242482405625,388.21,,,0.53
2024-06-10,380.68,389.42,381.64,381.84,44794008,-0.04450145284154994,388.0,,,0.48
2024-06-11,381.67,383.81,376.53,381.62,50719118,-0.057615755290163495,387.33,,,0.43
2024-06-12,382.01,385.09,383.23,383.43,33834629,0.47429380011529965,387.09,,,0.9
2024-06-13,389.56,391.26,389.52,389.8,22740855,1.6613201888219464,386.49,,,2.58
2024-06-14,394.87,396.28,393.44,395.59,63434665,1.4853771164699658,386.43,,,4.1
2024-06-17,394.42,393.58,392.74,392.8,21380188,-0.7052756641977687,386.73,,,3.37
2024-06-18,384.61,390.27,386.1,386.31,98625027,-1.6522403258655838,387.34,,,1.66
2024-06-19,380.97,381.87,378.31,380.23,27530577,-1.5738655483937714,387.11,,,0.06
2024-06-20,375.56,377.41,375.81,376.75,106946545,-0.9152355153459801,386.42,,,-0.86
2024-06-21,374.47,378.57,373.61,375.15,110609080,-0.4246848042468554,385.23,,,-1.28
2024-06-24,376.57,378.15,370.83,376.89,27770032,0.4638144742103112,383.39,,,-0.82
2024-06-25,374.64,374.65,372.17,373.12,65112491,-1.0002918623471024,380.18,,,-1.81
2024-06-26,373.76,380.32,372.66,374.72,119413222,0.42881646655232863,377.6,,,-1.39
2024-06-27,375.2,378.05,371.8,376.74,89927631,0.5390691716481655,376.23,,,-0.86
2024-06-28,376.99,382.26,376.48,377.68,67474562,0.24950894516111433,375.86,,,-0.61
2024-07-01,370.79,372.48,368.74,372.27,29850941,-1.432429570006366,375.22,,,-2.03
2024-07-02,373.4,375.43,369.72,374.79,96067689,0.6769280361028418,375.17,,,-1.37
2024-07-03,385.62,387.56,384.15,385.33,78843455,2.8122415219189234,376.38,,,1.4
2024-07-04,385.12,387.15,385.09,386.82,84194661,0.38668154568810564,378.34,,,1.79
2024-07-05,370.19,374.18,371.39,371.94,92639916,-3.84675042655499,377.94,382.91,,-2.12
2024-07-08,379.07,385.84,378.01,378.26,93429865,1.6991987955046417,378.16,382.85,1.466,-0.46
2024-07-09,374.45,377.37,371.7,374.97,34235345,-0.8697721144186432,377.77,382.36,1.395,-1.32
2024-07-10,384.98,389.45,384.04,386.43,47294649,3.056244499559968,379.79,382.37,1.5033,1.69
2024-07-11,386.3,387.66,382.49,387.26,104310270,0.21478663664828979,381.57,382.5,1.4962,1.91
2024-07-12,379.4,383.06,376.43,378.86,110629651,-2.1690853690027323,380.65,382.25,1.5429,-0.3
2024-07-15,367.91,375.51,365.01,368.73,50825017,-2.6738109064034177,378.06,381.7,1.6152,-2.97
2024-07-16,376.44,378.03,374.89,376.47,50249071,2.0990969001708493,378.71,381.12,1.6057,-0.93
2024-07-17,380.75,390.09,378.43,382.2,81399500,1.5220336281775326,379.27,380.66,1.6302,0.58
2024-07-18,394.03,395.3,393.12,393.68,85157827,3.003663003663015,381.95,380.76,1.7082,3.6
2024-07-19,393.25,395.18,392.6,393.97,52023414,0.0736638894533792,383.02,381.16,1.6533,3.68
2024-07-22,394.41,398.05,387.75,393.91,48388813,-0.01522958600909119,383.97,381.56,1.6532,3.66
2024-07-23,393.36,392.56,388.25,392.15,117226592,-0.4468025691147792,385.87,381.91,1.6561,3.2
2024-07-24,389.4,391.27,388.87,388.97,97513779,-0.8109141909983353,388.76,382.09,1.6628,2.36
2024-07-25,386.39,388.58,385.85,387.18,61078564,-0.46018973185593115,390.29,382.01,1.6374,1.89
2024-07-26,387.58,390.72,385.12,388.53,112180999,0.34867503486748497,391.2,381.77,1.6146,2.24
2024-07-29,383.76,386.58,381.87,384.42,32350251,-1.0578333719403754,389.88,381.49,1.6208,1.16
2024-07-30,374.9,376.87,374.9,376.16,105990497,-2.148691535299929,387.33,381.15,1.64,-1.01
2024-07-31,375.98,377.83,376.19,377.18,79529451,0.27116120799659527,384.94,381.05,1.6164,-0.74
2024-08-01,374.17,377.28,372.85,373.08,42226820,-1.0870141576965975,382.22,380.93,1.62,-1.82
2024-08-02,356.9,357.93,356.89,357.32,66153077,-4.22429505736035,377.7,380.33,1.7921,-5.97
2024-08-05,359.91,364.26,359.25,360.14,104784708,0.7892085525579295,373.83,379.78,1.7969,-5.23
2024-08-06,355.41,356.68,353.37,355.08,57315486,-1.4050091631032435,369.05,379.17,1.8051,-6.56
2024-08-07,358.72,359.64,357.63,358.39,22396716,0.9321842964965743,365.34,378.63,1.813,-5.69
2024-08-08,360.07,365.79,359.76,361.63,52121887,0.9040430815592027,363.26,378.13,1.8189,-4.83
2024-08-09,364.41,364.89,362.69,363.2,87001632,0.4341453972292131,361.26,377.64,1.8205,-4.42
2024-08-12,374.21,377.03,369.11,375.42,98052989,3.364537444933924,361.6,377.75,1.9092,-1.21
2024-08-13,375.79,378.16,373.16,374.95,113344322,-0.1251931170422549,364.12,377.75,1.9057,-1.33
2024-08-14,374.78,374.28,370.48,373.76,47509277,-0.317375650086682,366.06,377.37,1.8317,-1.64
2024-08-15,378.18,380.25,374.65,377.36,113276363,0.9631849315068663,369.24,377.05,1.8398,-0.69
2024-08-16,377.61,382.29,375.52,377.31,22057244,-0.013249947000215645,371.95,377.23,1.6957,-0.71
2024-08-19,381.47,385.25,380.82,383.33,34842498,1.5955050223953826,375.05,377.4,1.6923,0.88
2024-08-20,376.6,378.14,374.78,377.12,89816793,-1.6200140870790136,377.04,377.47,1.7119,-0.76
2024-08-21,371.49,375.71,370.22,371.1,34240440,-1.596308867204066,376.42,376.96,1.6378,-2.34
2024-08-22,374.66,376.36,374.07,375.08,65791484,1.072487200215555,376.44,376.56,1.6513,-1.29
2024-08-23,370.87,370.18,369.36,369.52,74259773,-1.482350431907864,375.83,376.24,1.6261,-2.76
2024-08-26,372.01,373.82,368.72,372.72,74456834,0.865988309157828,375.17,376.38,1.5576,-1.92
2024-08-27,373.99,376.59,371.85,374.77,40115885,0.5500107319167169,374.81,376.32,1.5123,-1.38
2024-08-28,370.68,373.95,367.67,371.55,82542403,-0.8591936387650989,373.12,375.97,1.4918,-2.22
2024-08-29,372.95,378.39,372.5,373.57,62567192,0.5436684160947225,372.62,375.3,1.3797,-1.69
2024-08-30,367.91,368.31,366.15,367.7,112188338,-1.5713253205557165,372.13,374.42,1.4023,-3.24
2024-09-02,363.8,363.51,360.79,363.05,64188812,-1.2646178950231124,370.41,373.39,1.4145,-4.46
2024-09-03,362.72,369.89,361.86,362.13,94847531,-0.25340862140201814,369.36,372.39,1.4141,-4.7
2024-09-04,363.84,362.91,359.51,362.72,74692514,0.1629249164664781,367.93,371.52,1.4121,-4.55
2024-09-05,362.88,363.28,356.87,361.48,55858742,-0.3418614909572182,366.03,370.66,1.4116,-4.87
2024-09-06,364.92,364.09,362.62,363.77,119205590,0.6335066946995482,364.92,369.83,1.4165,-4.27
2024-09-09,364.09,365.88,364.07,365.85,20976264,0.5717898672238153,363.81,369.21,1.4141,-3.72
2024-09-10,374.35,379.41,368.58,373.47,99591041,2.082820828208276,364.64,369.12,1.4194,-1.72
2024-09-11,372.14,374.44,371.4,373.22,52507324,-0.06693978097304099,366.09,368.99,1.4184,-1.78
2024-09-12,377.95,380.29,378.56,379.34,99978229,1.639783505707082,368.55,369.2,1.4353,-0.17
2024-09-13,384.72,384.27,381.21,384.19,27299243,1.2785364053355952,371.62,370.1,1.2006,1.1
2024-09-16,395.36,398.85,393.53,396.08,57482526,3.094822874098746,376.56,371.3,1.3056,4.23
2024-09-17,393.89,399.11,386.48,395.65,98462955,-0.10856392647949908,381.11,372.65,1.2672,4.12
2024-09-18,392.25,396.45,390.91,393.68,42573102,-0.49791482370781237,385.09,373.82,1.2722,3.6
2024-09-19,398.47,404.02,398.88,400.47,116694401,1.7247510668563448,388.95,375.12,1.2938,5.39
2024-09-20,404.37,404.09,400.42,402.75,81781572,0.5693310360326498,393.17,376.44,1.2943,5.99
2024-09-23,407.87,415.75,408.74,409.81,56020281,1.7529484792054628,397.52,377.58,1.1946,7.84
2024-09-24,412.74,415.54,412.83,413.94,22933865,1.0077840950684536,401.77,378.88,1.1986,8.93
2024-09-25,402.32,408.44,401.53,402.65,110553131,-2.727448422476697,402.71,379.85,1.3188,5.96
2024-09-26,404.32,407.04,403.04,404.9,94696009,0.5587979634918749,404.03,380.76,1.3133,6.55
2024-09-27,408.48,409.62,405.66,406.81,76361727,0.4717214126944924,405.9,381.75,1.3131,7.06
2024-09-30,405.89,409.91,406.6,407.76,84360247,0.23352424964970808,406.95,382.56,1.2886,7.31
2024-10-01,407.34,408.78,406.5,407.29,96079786,-0.11526388071413374,407.59,383.57,1.2432,7.18
2024-10-02,399.68,403.15,398.09,398.96,93256318,-2.045225760514635,406.04,384.5,1.2688,4.99
2024-10-03,405.55,405.62,403.02,403.81,95016152,1.2156607178664514,404.6,385.45,1.2723,6.27
2024-10-04,406.53,412.6,405.79,406.05,32229793,0.5547163269854716,405.08,386.67,1.2301,6.86
2024-10-07,413.46,413.43,411.66,412.21,72837348,1.517054549932273,406.13,387.99,1.2457,8.48
2024-10-08,402.38,404.2,399.14,404.06,20145693,-1.9771475704131292,405.73,388.96,1.3148,6.33
2024-10-09,406.55,407.53,406.76,407.01,55204166,0.7300895906548588,405.63,390.15,1.3001,7.11
2024-10-10,405.48,408.0,398.81,405.99,32076798,-0.2506080931672372,405.44,391.23,1.3033,6.84
2024-10-11,408.58,410.36,405.86,407.01,96408261,0.2512377152146472,406.59,392.54,1.2553,7.11
2024-10-14,404.63,413.84,404.59,406.05,104771701,-0.23586644062798534,406.91,393.97,1.2234,6.86
2024-10-15,407.78,410.48,404.79,409.21,35244854,0.7782292821081116,407.36,395.54,1.2195,7.69
2024-10-16,407.87,416.26,408.31,408.57,99990594,-0.15639891498252512,406.84,397.07,1.2231,7.52
2024-10-17,401.33,406.81,395.41,403.13,33542914,-1.3314731869691898,406.71,398.46,1.2568,6.09
2024-10-18,402.55,405.95,403.82,403.83,44840217,0.1736412571627044,406.26,399.79,1.2564,6.27
2024-10-21,404.8,403.66,402.12,402.92,62647864,-0.22534234702720202,405.82,401.03,1.2601,6.03
2024-10-22,402.43,405.69,397.54,402.72,35276157,-0.04963764519011482,405.2,402.0,1.2172,5.98
2024-10-23,386.49,387.42,383.21,385.98,85207703,-4.156734207389756,402.34,402.43,1.4598,1.57
2024-10-24,390.57,389.74,388.65,389.69,24379845,0.9611896989481172,399.55,402.77,1.4406,2.55
2024-10-25,387.79,390.92,384.36,388.3,85028906,-0.35669378223716075,396.65,402.91,1.4253,2.18
2024-10-28,380.26,382.39,380.4,381.61,85693883,-1.7228946690703073,393.58,402.43,1.3387,0.42
2024-10-29,385.36,393.8,385.96,386.49,27150265,1.2787924844736676,391.1,402.12,1.3626,1.71
2024-10-30,389.25,392.2,387.62,389.98,88812592,0.9029987839271447,389.25,402.0,1.3714,2.63
2024-10-31,389.05,392.33,387.43,388.52,69802025,-0.3743781732396645,387.22,401.6,1.3322,2.24
2024-11-01,382.44,384.22,382.74,382.83,24762315,-1.4645320704210874,386.77,400.94,1.349,0.74
2024-11-04,382.06,390.91,381.6,383.96,40154352,0.2951701799754458,385.96,400.07,1.3032,1.04
