date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,482.25,484.78,479.22,480.0,63151508,,,,,0.0
2024-05-28,476.29,481.43,469.95,474.16,103260243,-1.216666666666666,,,,-1.22
2024-05-29,460.13,464.21,458.58,460.07,99238576,-2.9715707777965283,,,,-4.15
2024-05-30,466.35,469.27,466.79,468.25,62926707,1.7779903058230184,,,,-2.45
2024-05-31,470.66,471.29,465.51,469.46,93414100,0.2584089695675251,,,,-2.2
2024-06-03,459.39,461.84,456.62,459.43,89474749,-2.1364972521620507,,,,-4.29
2024-06-04,459.19,461.72,459.18,460.09,93304060,0.1436562697255228,467.35,,,-4.15
2024-06-05,470.83,474.13,464.62,470.87,20880096,2.3430198439435834,466.05,,,-1.9
2024-06-06,505.59,506.95,498.12,505.47,119529587,7.348100324930451,470.52,,,5.31
2024-06-07,527.14,532.97,521.72,526.81,48756261,4.221813361821658,480.05,,,9.75
2024-06-10,488.59,490.8,478.12,488.88,73256185,-7.199939257037635,483.0,,,1.85
2024-06-11,496.95,503.19,491.11,496.43,100281849,1.5443462608411007,486.85,,,3.42
2024-06-12,526.75,532.21,519.81,524.56,71923821,5.666458513788442,496.16,,,9.28
2024-06-13,503.29,507.06,501.29,503.99,30015667,-3.9213817294494357,502.43,,,5.0
2024-06-14,518.39,517.97,513.42,517.22,84996302,2.6250520843667635,509.05,,,7.75
2024-06-17,518.71,517.39,510.15,516.67,51087640,-0.10633772862612689,510.65,,,7.64
2024-06-18,540.72,544.76,536.19,540.95,55027732,4.6993245204869805,512.67,,,12.7
2024-06-19,552.08,553.07,547.32,552.39,110645463,2.1147980404843114,521.74,,,15.08
2024-06-20,539.97,540.79,532.47,539.42,118067320,-2.3479787831061416,527.89,,,12.38
2024-06-21,540.01,544.28,537.41,539.52,84940921,0.018538430165748743,530.02,,,12.4
2024-06-24,542.38,543.59,537.74,540.73,86338692,0.22427342823250207,535.27,,,12.65
2024-06-25,542.15,544.62,536.81,542.28,68883781,0.28664952933996624,538.85,,,12.98
2024-06-26,570.0,567.69,558.15,567.18,80126058,4.59172383270634,546.07,,,18.16
2024-06-27,552.23,559.04,552.32,554.68,20892015,-2.2038858916040738,548.03,,,15.56
2024-06-28,575.04,580.95,576.01,577.91,81203758,4.1880002884546075,551.67,,,20.4
2024-07-01,576.8,579.64,568.67,575.99,85184214,-0.33223166236956425,556.9,,,20.0
2024-07-02,583.39,588.05,583.37,584.57,30356675,1.4896091946040801,563.33,,,21.79
2024-07-03,588.67,597.88,586.67,590.21,101248346,0.9648117419641666,570.4,,,22.96
2024-07-04,592.86,594.41,585.9,593.98,71982996,0.6387556971247488,577.79,,,23.75
2024-07-05,596.48,599.45,594.09,597.94,56425691,0.6666891141115849,582.18,524.0,,24.57
2024-07-08,629.43,639.51,624.79,632.4,37631957,5.7631200454895115,593.29,529.08,3.1555,31.75
2024-07-09,658.47,660.26,648.8,655.38,119398503,3.6337760910815975,604.35,535.12,3.1637,36.54
2024-07-10,650.0,652.39,649.98,651.82,23352214,-0.5431963135890561,615.19,541.52,3.0852,35.8
2024-07-11,693.84,697.95,686.5,692.22,72355263,6.198030131017762,630.56,548.98,3.2158,44.21
2024-07-12,705.6,707.43,702.15,703.76,39787303,1.6671000548958315,646.79,556.79,3.2095,46.62
2024-07-15,720.58,724.47,715.21,717.5,81395288,1.9523701261793702,664.43,565.39,3.1398,49.48
2024-07-16,698.52,702.17,698.13,701.81,42158515,-2.1867595818815366,679.27,573.45,3.2038,46.21
2024-07-17,697.31,702.01,692.62,694.73,66433264,-1.0088200510109502,688.17,580.91,3.2305,44.74
2024-07-18,683.3,686.42,674.32,683.12,106904519,-1.6711528219596095,692.14,586.83,3.0692,42.32
2024-07-19,690.95,690.3,684.29,690.03,80348918,1.0115353085841328,697.6,592.28,3.0104,43.76
2024-07-22,711.26,712.33,708.87,710.24,36912586,2.9288581655870116,700.17,599.65,2.606,47.97
2024-07-23,726.66,725.39,713.81,724.35,104742716,1.986652399189004,703.11,607.25,2.6087,50.91
2024-07-24,768.09,775.24,756.61,769.37,65975556,6.21522744529579,710.52,615.41,2.6421,60.29
2024-07-25,752.95,764.47,750.71,751.2,41419897,-2.3616725372707537,717.58,623.65,2.5492,56.5
2024-07-26,759.78,774.28,756.26,759.56,81664492,1.1128860489882708,726.84,631.73,2.5384,58.24
2024-07-29,733.37,736.24,721.68,731.22,76526516,-3.731107483279783,733.71,638.88,2.6904,52.34
2024-07-30,716.59,714.08,699.29,713.09,96413476,-2.4794179590273746,737.0,644.62,2.6875,48.56
2024-07-31,747.18,752.74,741.51,749.43,70758892,5.096130923165365,742.6,651.19,2.7851,56.13
2024-08-01,746.43,747.9,738.43,742.75,116973669,-0.8913440881736734,745.23,657.97,2.7359,54.74
2024-08-02,724.4,731.14,726.45,727.39,52320708,-2.067990575563783,739.23,664.23,2.7905,51.54
2024-08-05,675.52,684.31,670.59,678.9,40333128,-6.666300059115471,728.91,668.83,3.1235,41.44
2024-08-06,661.59,665.48,663.84,664.62,108897082,-2.103402562969503,715.34,672.91,3.1674,38.46
2024-08-07,663.59,670.53,657.78,664.64,24713199,0.0030092383617619234,705.83,676.16,3.0842,38.47
2024-08-08,638.98,642.76,633.54,638.13,29664001,-3.9886254212806893,695.12,678.94,3.156,32.94
2024-08-09,634.13,642.4,630.32,636.88,106400448,-0.1958848510491551,679.04,680.91,3.0807,32.68
2024-08-12,666.16,679.18,666.18,669.47,72420967,5.117133525938966,668.58,684.02,3.1964,39.47
2024-08-13,660.72,660.95,655.06,657.84,25125819,-1.7371950946270975,658.64,686.47,3.2179,37.05
2024-08-14,643.1,648.2,639.24,641.04,119617586,-2.553812477198114,653.23,688.16,3.2621,33.55
2024-08-15,622.57,624.9,620.52,620.66,30598429,-3.1792087857231976,646.95,689.05,3.3234,29.3
2024-08-16,602.85,604.97,597.34,600.54,104678410,-3.241710437276446,637.79,689.14,3.3806,25.11
2024-08-19,617.2,617.74,612.53,615.97,24474843,2.5693542478436138,634.63,688.59,3.2426,28.33
2024-08-20,618.95,625.5,618.22,621.41,38520171,0.8831598941506869,632.42,687.46,3.1733,29.46
2024-08-21,645.8,650.1,644.09,646.45,60866635,4.0295457105614885,629.13,687.28,3.2614,34.68
2024-08-22,697.86,700.49,695.25,696.3,89895769,7.711346585196055,634.62,687.41,3.37,45.06
2024-08-23,655.68,663.28,649.3,657.12,55400396,-5.626884963377843,636.92,685.86,3.5113,36.9
2024-08-26,671.72,671.23,667.45,670.47,43511930,2.031592403214022,644.04,684.29,3.513,39.68
2024-08-27,646.18,655.97,641.15,649.27,84886718,-3.1619610124241304,651.0,682.54,3.5367,35.26
2024-08-28,670.35,681.32,666.39,671.66,23503548,3.4484883022471324,658.95,681.77,3.5947,39.93
2024-08-29,670.45,670.84,668.22,670.13,46801589,-0.2277938242563171,665.91,681.34,3.5819,39.61
2024-08-30,676.44,685.0,673.63,675.55,94293979,0.8087982928685511,670.07,680.86,3.5801,40.74
2024-09-02,650.84,654.37,642.95,650.34,83639417,-3.7317741099844426,663.51,678.86,3.5981,35.49
2024-09-03,646.65,652.58,645.02,645.38,72916829,-0.7626779838238562,661.83,676.23,3.5746,34.45
2024-09-04,648.77,663.68,644.52,651.99,61535944,1.0242027952524158,659.19,672.31,3.3668,35.83
2024-09-05,684.54,688.9,684.86,687.28,22269798,5.412659703369682,664.62,670.18,3.5142,43.18
2024-09-06,675.75,674.05,664.47,673.27,24181726,-2.0384704923757435,664.85,667.31,3.5196,40.26
2024-09-09,666.44,667.85,661.67,665.23,23439289,-1.1941717290240073,664.15,665.11,3.4654,38.59
2024-09-10,689.07,692.7,690.22,691.75,111571895,3.9865911038287516,666.46,664.4,3.523,44.11
2024-09-11,678.41,681.82,672.07,676.09,36186862,-2.263823635706541,670.14,661.95,3.4073,40.85
2024-09-12,705.86,711.72,704.34,707.68,102932385,4.672454850685548,679.04,660.78,3.5227,47.43
2024-09-13,712.36,717.99,698.55,712.51,102031862,0.6825118697716626,687.69,660.29,3.5055,48.44
2024-09-16,722.51,732.08,718.26,725.09,114280222,1.7655892548876562,693.09,661.83,3.2845,51.06
