date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,2900.28,2919.33,2889.48,2900.0,85483111,,,,,0.0
2024-05-28,2825.92,2848.52,2762.52,2814.58,100696443,-2.945517241379314,,,,-2.95
2024-05-29,2841.09,2851.98,2813.6,2829.53,62750503,0.5311627312067912,,,,-2.43
2024-05-30,2865.39,2868.7,2847.69,2864.7,32425753,1.2429626121652548,,,,-1.22
2024-05-31,2870.7,2896.19,2854.71,2867.6,78526349,0.1012322407232924,,,,-1.12
2024-06-03,2861.12,2865.81,2838.1,2846.98,116188255,-0.7190682103501156,,,,-1.83
2024-06-04,2830.32,2855.7,2829.63,2836.03,84930213,-0.3846180865337945,2851.35,,,-2.21
2024-06-05,2759.61,2765.41,2756.13,2764.45,88698447,-2.523950733948521,2831.98,,,-4.67
2024-06-06,2744.99,2777.24,2747.74,2753.73,116216566,-0.38778057118051823,2823.29,,,-5.04
2024-06-07,2726.67,2723.47,2714.79,2715.91,118809493,-1.3734098840481823,2807.06,,,-6.35
2024-06-10,2699.42,2741.36,2660.28,2692.84,20670712,-0.8494390462128631,2782.51,,,-7.14
2024-06-11,2643.68,2658.16,2626.27,2654.14,49871982,-1.4371444274446366,2752.01,,,-8.48
2024-06-12,2624.74,2615.42,2590.81,2612.15,99551375,-1.5820567114018025,2718.46,,,-9.93
2024-06-13,2585.89,2584.58,2562.96,2579.94,82196811,-1.2330838581245396,2681.88,,,-11.04
2024-06-14,2610.44,2614.38,2586.79,2601.32,93207249,0.8287014426692219,2658.58,,,-10.3
2024-06-17,2573.76,2589.94,2562.34,2585.44,88901148,-0.6104593052757901,2634.53,,,-10.85
2024-06-18,2550.3,2551.52,2548.28,2550.17,61157329,-1.3641778575406938,2610.86,,,-12.06
2024-06-19,2580.32,2575.72,2536.7,2575.21,65068269,0.9818953246254258,2594.05,,,-11.2
2024-06-20,2581.32,2588.73,2578.72,2580.21,85576194,0.19415892296161807,2583.49,,,-11.03
2024-06-21,2508.37,2512.8,2484.34,2504.19,112976604,-2.946271815084822,2568.07,,,-13.65
2024-06-24,2544.46,2546.27,2521.55,2536.4,52945847,1.286244254629243,2561.85,,,-12.54
2024-06-25,2536.32,2567.55,2514.27,2539.51,31250503,0.12261472953793984,2553.02,,,-12.43
2024-06-26,2573.91,2576.44,2555.17,2564.96,102917386,1.0021618343696082,2550.09,,,-11.55
2024-06-27,2549.87,2575.42,2546.29,2558.5,31967435,-0.2518557794273568,2551.28,,,-11.78
2024-06-28,2605.05,2636.65,2561.37,2611.04,90134431,2.0535470001954215,2556.4,,,-9.96
