date,open,high,low,close,volume,daily_return_pct,7d_ma,30d_ma,volatility_30d,cumulative_return_pct
2024-05-27,3796.83,3803.21,3757.27,3800.0,71044163,,,,,0.0
2024-05-28,3669.15,3680.05,3645.14,3674.53,79098593,-3.301842105263153,,,,-3.3
2024-05-29,3743.78,3792.81,3697.89,3742.85,63603666,1.8592854052082775,,,,-1.5
2024-05-30,3768.93,3774.38,3758.92,3765.18,112381433,0.5966041919927223,,,,-0.92
2024-05-31,3783.27,3828.24,3774.42,3780.75,50736164,0.413526046563506,,,,-0.51
2024-06-03,3785.43,3825.82,3754.1,3779.6,100286920,-0.03041724525557621,,,,-0.54
2024-06-04,3780.82,3796.43,3760.85,3788.11,110055191,0.22515610117472828,3761.57,,,-0.31
2024-06-05,3749.89,3775.2,3734.52,3763.95,80116445,-0.6377850695993614,3756.42,,,-0.95
2024-06-06,3801.65,3832.7,3756.72,3791.76,114675401,0.7388514725222173,3773.17,,,-0.22
2024-06-07,3750.18,3760.35,3704.52,3737.07,94140338,-1.4423381226659981,3772.35,,,-1.66
2024-06-10,3737.33,3797.86,3721.42,3746.44,91273769,0.25073118780221115,3769.67,,,-1.41
2024-06-11,3768.28,3774.6,3741.59,3771.78,26485355,0.6763754390834986,3768.39,,,-0.74
2024-06-12,3764.73,3795.07,3760.31,3764.78,87915815,-0.1855887671073031,3766.27,,,-0.93
2024-06-13,3783.37,3874.92,3748.77,3782.11,48057391,0.46031906246846166,3765.41,,,-0.47
2024-06-14,3747.06,3746.48,3708.01,3741.09,25229907,-1.0845797716089733,3762.15,,,-1.55
2024-06-17,3684.64,3704.47,3683.08,3701.61,81706213,-1.0553074104071247,3749.27,,,-2.59
2024-06-18,3721.24,3744.71,3699.53,3713.01,41862507,0.30797409775746853,3745.83,,,-2.29
2024-06-19,3726.66,3746.66,3730.15,3743.05,100063803,0.8090471073334049,3745.35,,,-1.5
2024-06-20,3663.8,3695.35,3591.86,3664.97,45414769,-2.085999385527859,3730.09,,,-3.55
2024-06-21,3700.2,3693.63,3647.62,3688.11,101939622,0.6313830672556753,3719.14,,,-2.94
2024-06-24,3665.07,3751.78,3634.2,3666.86,76090884,-0.5761758732792721,3702.67,,,-3.5
2024-06-25,3647.45,3663.8,3629.87,3660.3,89280991,-0.17889965801802798,3691.13,,,-3.68
2024-06-26,3623.65,3622.13,3586.49,3606.16,24254970,-1.4791137338469595,3677.49,,,-5.1
